"hotelName","title","content","month","year","rating"
"Hotel_Alexander","Overall - good experience","Great location, knowledgeable staff and good price. Located right at old town. Close to everything. 2 mins walking to a tram station. It is a good for a family with young kids. Free mini bar is a bonus.","Yesterday",,4
"Hotel_Alexander","Excellent choice in Old Town!","The location is the best asset of this nice, quiet little boutique hotel in Zurich's Old Town. Easily walkable from the main train station, it's also very convenient for exploring Old Town or crossing the river into more modern shopping areas. The hotel is very comfortable and cozy. This trip was a Father/Son adventure, and they were so kind to store our luggage as we arrived mid-morning from our Transatlantic flight. We were able to access our room by 11:00am, exceeding our expectations! We only stayed one night, but we also enjoyed the full (complimentary) breakfast. Every staff member we spoke with was very friendly, and knowledgeable. We highly recommend booking this hotel!",5,"2023",5
"Hotel_Alexander","Good Experience","This was a very nice hotel with a great location and wonderful staff. Check in was a breeze. Breakfast in the morning was wonderful and the staff that worked the breakfast were so attentive and nice. My only complaint was the bed was a bit hard and the pillows were so flat.",10,"6",3
"Hotel_Alexander","Zurich stay","We stayed only for 1 night and it met our needs perfectly. We loved the location as there were plenty of places to eat and places to see close by. There were three of us in the family room and we had enough space for our luggage. Beds were comfortable, breakfast was good with plenty of options and we stored our luggage at reception for the day so we could explore Zurich. Staff were pleasant and welcoming. We would stay again.",10,"2",5
"Hotel_Alexander","Wonderful place!","My wife and I stayed the the Hotel Alexander for 2 nights at the end of August, 2023. We LOVED it! We had a twin bed corner room and heard little or no noise from the street. The room was clean and well equipped. The staff was super nice, answering all our ""dumb"" questions. We found out Switzerland's electrical sockets are unique in Europe and the adapter we had didn't fit. Not a problem, the front desk loaned us one. Breakfast was delicious and served in a nice, bright room. There are plenty of restaurants within a 5 minute walk of the hotel and the train station was just 10 minutes away. If we're ever in Zurich again we will definitely stay here again!",9,"2023",5
"Hotel_Alexander","One night in Aldstadt...","We were warm and tired from our international flight and it was quite nice to arrive to friendly welcoming staff and a nicely air-conditioned room. We only stopped in Zurich for one night and wanted to stay in the Altstadt area. The location of the hotel is definitely what makes it worth the money, as the rooms aren't equipped with much extras and tend to be on the smaller side. Altogether, it fit our needs and we had an enjoyable stay.",9,"2023",4
"Hotel_Alexander","Convenient location, comfortable but small room.","The Hotel Alexander is located above a restaurant on a funky street in central Zurich, perhaps a 10 minute walk (or two-stop tram ride) from the central train station. The small lobby has room for only a few chairs. That the front desk would be closed (apparently for staffing issues) the first night of our stay was disconcerting. Our room was smallish but a generous wardrobe provided some space for luggage; other suitcases needed to be left on the floor where there was minimal open space. The bathroom was also small; there was a shelf by the window that provided plenty of space for toiletries, however. The room was immaculate and in excellent repair; like most of the hotel, it appeared to have been recently redone. Despite the snugness of our room, we may have gotten one",9,"2023",4
"Hotel_Alexander","Good and bad","This older hotel is in the old town which is a good location. However, there are a lot of tourists in this sector, so if you want some quiet location, you might think of another spot. Overall, I'd say I was disappointed. The front desk staff was a mixed bag with some friendly folks and others rude. The room I had was on the 4th floor and a bit warm. I had to request a fan even though it was air conditioned. Their system just couldn't properly keep it cool enough. There is no lounge and barely a place to sit in the front entry. The breakfast was adequate but seriously lacking in choices. Otherwise, it was clean and secure. I guess I'll harp on the people up front as a lasting impression and how the management should hire only people who enjoy meeting and caring for guests who",9,"2023",3
"Hotel_Alexander","Perfectly Placed","This hotel was booked by our tour operator and what a great option it was. It is a small, 'boutiquey type hotel', centrally located to most things - the main railway station an easy 10 minute walk away, restaurants at its doorstep and the centre of Zurich. The room was a very good size, with space to put suitcases without tripping over them (always a bonus) and the bathroom, small but functional(BYO soap). The facilities in the room were very good - excellent shower, comfortable beds, a safe, a bar fridge and as an added bonus, the first of each drink was complimentary. The air con was okay. The reception area was relatively small, but staffed by friendly and welcoming staff on all occasions. Drinking water and a supply of fruit was complimentary. The breakfast room was small,",9,"2023",5
"Hotel_Alexander","Friendly staff, great location","This hotel is in the heart of where you want be!!! Great location!!!! FRIENDLY STAFF… always very accommodating and eager to help. The host reception was nice enough to give us an early check-in since there was availability. We loved it here.",9,"2023",5
